"Space Id","Title","Created At","Language","Creator Id","Host Ids","Invited User Ids","Participant Count","Speaker Ids","Start Date","Start Time","State","Updated","Scheduled Start","Topic Ids","Topic Names","Topic Descriptions","Total Speakers","Total Moderators"
"1BdGYrPQlBvJX","UNC vs Michigan St Recap & other notable games","2024-03-24T00:49:21.000Z","en","872848904630480896","872848904630480896, 196697114","1446108359002890241, 2443123478, 1514647157978152965, 215045499, 133881972",4,"215045499, 1514647157978152965, 196697114, 394932018","2024-03-24","00:49:25","live","2024-03-24T01:53:46.000Z","","","","",4.0,2
"1DXxyjrezLEKM","🧠OPEN MINDS🧠 Ep.49 #Peace #Love #Games #Anime #Music #Life #God #Porn","2024-03-24T01:34:41.000Z","other","848724044027441154","848724044027441154, 1425779288780025861, 2540362688","",9,"1762656509765574656, 1425779288780025861, 2945644502","2024-03-24","01:34:43","live","2024-03-24T01:53:44.000Z","","","","",3.0,3
"1RDxllRRBDoxL","Delabs Games Whitepaper Release 🐞","2024-03-22T09:09:59.000Z","da","1623175483025403905","1623175483025403905","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-27T01:30:00.000Z","","","","",1
"1ZkKzjqXPjWKv","令和5年度最後の信号機雑談スペ","2024-03-17T23:50:36.000Z","ja","804210000247721984","804210000247721984","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-24T10:30:00.000Z","","","","",1
"1BdGYrPOjBvJX","Review of the African Games! ","2024-03-23T12:15:01.000Z","en","1286263664442564608","1286263664442564608","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-24T19:30:00.000Z","847900493514891265, 847900861074292736, 706083902411055104","Sports, Boxing, Basketball","All about sports, Sport, Sport","",1
"1jMKgmYokoAJL","zkGames and zkOracles","2024-03-22T16:07:46.000Z","en","1151977130332434433","1151977130332434433","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-27T17:00:00.000Z","","","","",1
"1mnxepVOdLvJX","Reality Check 🧀🎙️ Revolving Games / Skyborne / Bytes & more","2024-03-23T15:01:33.000Z","en","1388182057474531332","1388182057474531332","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-25T20:00:00.000Z","847527650667094017, 1369311988040355840, 1070028312276127746","Gaming, NFTs, Game development","All about gaming, Digital assets, Gaming","",1
"1mnGepVvlXrKX","Nifty Rabbits Society 🐰 Ep.1 Let’s talk games","2024-03-23T18:37:21.000Z","en","493720917","493720917","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-24T20:00:00.000Z","847527650667094017, 1070028312276127746, 839544274442051584","Gaming, Game development, Entertainment","All about gaming, Gaming, All about entertainment","",1
"1YpJkwdvXrAJj","Enter Infinite Play: how games are evolved and let gamer decides ","2024-03-23T15:48:51.000Z","en","1465876404143198208","1465876404143198208","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-25T16:00:00.000Z","","","","",1
"1ZkKzjpONrgKv","MEGA SPACE| +C.O.C ft Hangry Animals PRE-SALE (giveaways/games) $FOOD","2024-02-20T16:44:15.000Z","other","956513004585091073","956513004585091073","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-04-05T20:00:00.000Z","1369311988040355840, 913142676819648512, 839543456678596608","NFTs, Cryptocurrencies, Digital creators","Digital assets, Business & finance, Entertainment","",1
"1MYGNoLdAApJw","SILVER AFTER A THRILLER: Ghana at the FIBA 3x3 All African Games","2024-03-23T17:30:00.000Z","en","2715766593","2715766593","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-24T22:00:00.000Z","847900493514891265, 706083889454813185, 1283448166507937792","Sports, NBA, Sports stats","All about sports, Basketball league, Stats about sports","",1
